Size,Resolution,Refresh rate,Processor,RAM,Disc,Graphics card,Price in zl
"15.6""", 1920 x 1080px, 120Hz,Intel Core i7-11370H,8,512 GB SSD,NVIDIA GeForce GTX 1650,3599
"16.1""", 1920 x 1080px, 60Hz,AMD Ryzen 5 5600H,8,512 GB SSD,NVIDIA GeForce GTX 1650,3799
"15.6""", 1920 x 1080px, 240Hz,AMD Ryzen 9 5900HX,16,1000 GB SSD,AMD Radeon RX 6700M,7499
"15.6""", 1920 x 1080px, 144Hz,AMD Ryzen 7 6800H,16,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,6199
"16.1""", 1920 x 1080px, 144Hz,Intel Core i7-11800H,8,512 GB SSD,NVIDIA GeForce RTX 3060,5999
"16.1""", 1920 x 1080px, 144Hz,Intel Core i5-11400,8,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,5199
"16.1""", 1920 x 1080px, 144Hz,Intel Core i5-11400H,8,512 GB SSD,NVIDIA GeForce GTX 1650,4299
"15.6""", 1920 x 1080px, 60Hz,Intel Core i5-11300H,8,512 GB SSD,NVIDIA GeForce RTX 3050,4399
"15.6""", 1920 x 1080px, 144Hz,AMD Ryzen 5 5600H,32,1000 GB SSD,NVIDIA GeForce RTX 3070,7599
"13.3""", 1920 x 1080px, 60Hz,Qualcomm Snapdragon SC7180,8,64 GB Flash,Adreno 618,2249
"17.3""", 1920 x 1080px, 144Hz,Intel Core i7-12700H,16,512 GB SSD,NVIDIA GeForce RTX 3070 Ti,9349
"17.3""", 1920 x 1080px, 144Hz,Intel Core i5-12500H,16,1000 GB SSD,NVIDIA GeForce RTX 3050,6499
"14""", 1920 x 1080px, 60Hz,AMD Ryzen 5 5625U,16,512 GB SSD,AMD Radeon Graphics,4499
"15.6""", 1920 x 1080px, 144Hz,Intel Core i5-10300H,16,1000 GB SSD,NVIDIA GeForce RTX 3050,4599
"14""", 1920 x 1080px, 60Hz,Intel Core i5-1135G7,16,512 GB SSD,Intel Iris Xe Graphics,5499
"16.1""", 1920 x 1080px, 144Hz,AMD Ryzen 7 5800H,16,1000 GB SSD,AMD Radeon RX 6600M,6399
"15.6""", 1920 x 1080px, 144Hz,AMD Ryzen 7 5800H,8,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,5299
"15.6""", 1920 x 1080px, 144Hz,AMD Ryzen 7 5800H,8,512 GB SSD,NVIDIA GeForce RTX 3050,4999
"16.1""", 1920 x 1080px, 60Hz,AMD Ryzen 5 5600H,8,512 GB SSD,NVIDIA GeForce RTX 3050,4399
"15.6""", 1920 x 1080px, 60Hz,AMD Ryzen 5 5600H,8,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,3899
"14""", 1920 x 1080px, 60Hz,Intel Core i5-1155G7,8,512 GB SSD,Intel Iris Xe Graphics,4109
"13.3""", 2560 x 1440px, 60Hz,Intel Core i5-11320H,16,512 GB SSD,Intel Iris Xe Graphics,4499
"15.6""", 1920 x 1080px, 60Hz,Intel Core i3-1115G4,8,256 GB SSD,Intel UHD Graphics,2799
"14""", 1920 x 1080px, 60Hz,Intel Core i7-1065G7,8,512 GB SSD,Intel Iris Plus Graphics,2899
"17.3""", 1920 x 1080px, 60Hz,Intel Core i5-1135G7,8,512 GB SSD,Intel Iris Xe Graphics,3199
"16""", 2560 x 1600px, 60Hz,Intel Core i7-11800H,16,512 GB SSD,NVIDIA GeForce RTX 3050,6399
"15.6""", 1920 x 1080px, 144Hz,Intel Core i5-10300H,16,512 GB SSD,NVIDIA GeForce GTX 1650,3699
"15.6""", 1920 x 1080px, 120Hz,AMD Ryzen 5 5600H,8,512 GB SSD,NVIDIA GeForce RTX 3050,3999
"14""", 1920 x 1080px, 60Hz,Intel Celeron J4125,8,256 GB SSD,Intel UHD Graphics 600,1749
"15.6""", 1920 x 1080px, 120Hz,Intel Core i7-10870H,16,512 GB SSD,NVIDIA GeForce RTX 3050,4849
"14""", 1920 x 1080px, 60Hz,Intel Celeron J4125,8,256 GB SSD,Intel UHD Graphics 600,1749
"14""", 1920 x 1080px, 60Hz,Intel Celeron N4500,4,128 GB Flash,Intel UHD Graphics,1699
"15.6""", 1920 x 1080px, 120Hz,AMD Ryzen 5 5600H,8,512 GB SSD,NVIDIA GeForce RTX 3050,3799
"13.3""", 2560 x 1600px, 60Hz,Apple M1,16,256 GB SSD,Apple M1 (7 rdzeni),6103
"15.6""", 1920 x 1080px, 60Hz,Intel Core i5-1135G7,8,256 GB SSD,Intel Iris Xe Graphics,3299
"17.3""", 1920 x 1080px, 144Hz,Intel Core i7-12700H,16,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,6849
"14""", 1920 x 1080px, 60Hz,Intel Core i7-1280P,16,512 GB SSD,NVIDIA GeForce GTX 1650,6899
"16.1""", 1920 x 1080px, 144Hz,AMD Ryzen 7 5800H,16,1000 GB SSD,AMD Radeon RX 6600M,6999
"15.6""", 1920 x 1080px, 60Hz,Intel Celeron N4000,4,128 GB SSD,Intel UHD Graphics 600,1699
"15.6""", 1920 x 1080px, 60Hz,Intel Core i3-1115G4,8,256 GB SSD,Intel UHD Graphics,1959
"15.6""", 1920 x 1080px, 144Hz,AMD Ryzen 5 5600H,16,512 GB SSD,NVIDIA GeForce RTX 3060,4599
"15.6""", 1920 x 1080px, 144Hz,AMD Ryzen 5 5600H,16,2000 GB HDD + 1000 GB SSD,NVIDIA GeForce RTX 3060,6399
"14""", 1920 x 1080px, 60Hz,AMD Ryzen 5 5500U,8,512 GB SSD,AMD Radeon Graphics,3799
"15.6""", 1920 x 1080px, 144Hz,Intel Core i5-11300H,16,512 GB SSD,NVIDIA GeForce RTX 3050,3999
"15.6""", 1920 x 1080px, 165Hz,AMD Ryzen 5 5600H,16,1000 GB SSD,NVIDIA GeForce RTX 3070,7899
"17.3""", 1920 x 1080px, 144Hz,Intel Core i7-11370H,16,512 GB SSD,NVIDIA GeForce RTX 3050,5299
"15.6""", 1920 x 1080px, 165Hz,Intel Core i5-11400H,8,512 GB SSD,NVIDIA GeForce GTX 1650,3699
"17.3""", 1920 x 1080px, 144Hz,Intel Core i5-12500H,16,512 GB SSD,NVIDIA GeForce RTX 3050,6249
"15.6""", 1920 x 1080px, 120Hz,AMD Ryzen 7 5800H,16,512 GB SSD,NVIDIA GeForce RTX 3050,4699
"15.6""", 1920 x 1080px, 144Hz,Intel Core i5-11400H,8,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,5099
"16.1""", 1920 x 1080px, 60Hz,Intel Core i5-11400,8,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,4999
"15.6""", 1920 x 1080px, 60Hz,Intel Core i3-1115G4,8,256 GB SSD,Intel UHD Graphics,2199
"17.3""", 1920 x 1080px, 144Hz,AMD Ryzen 5 5600H,8,512 GB SSD,NVIDIA GeForce RTX 3050,4699
"15.6""", 2560 x 1440px, 165Hz,Intel Core i7-11800H,32,1000 GB SSD,NVIDIA GeForce RTX 3070,10099
"16.1""", 1920 x 1080px, 144Hz,Intel Core i5-11400H,8,512 GB SSD,NVIDIA GeForce RTX 3050,4999
"15.6""", 1920 x 1080px, 360Hz,Intel Core i7-11800H,16,1000 GB SSD,NVIDIA GeForce RTX 3070,9799
"15.6""", 1920 x 1080px, 60Hz,Intel Core i5-1135G7,8,512 GB SSD,Intel Iris Xe Graphics,2499
"15.6""", 1920 x 1080px, 165Hz,AMD Ryzen 5 5600H,8,512 GB SSD,NVIDIA GeForce RTX 3050,4599
"17.3""", 1920 x 1080px, 60Hz,Intel Core i5-1155G7,8,512 GB SSD,Intel Iris Xe Graphics,2999
"15.6""", 1920 x 1080px, 144Hz,Intel Core i9-11900H,16,1000 GB SSD,NVIDIA GeForce RTX 3060,8499
"14.2""", 3024 x 1964px, 120Hz,Apple M1 Pro,16,1000 GB SSD,Apple M1 Pro (16 rdzeni),12557
"13.3""", 2560 x 1600px, 2560 x 1600px,Apple M2,16,256 GB SSD,Apple M2 (10 rdzeni),8399
"15.6""", 1920 x 1080px, 60Hz,Intel Core i5-1135G7,8,512 GB SSD,Intel Iris Xe Graphics,2549
"17.3""", 1920 x 1080px, 144Hz,Intel Core i5-11400H,16,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,5999
"13.3""", 2560 x 1600px, 2560 x 1600px,Intel Core i5-10210U,16,1000 GB SSD,Intel UHD Graphics,4099
"15.6""", 1920 x 1080px, 60Hz,Intel Celeron N4020,4,128 GB Flash,Intel UHD Graphics 600,1749
"14""", 2240 x 1400px, 60Hz,Intel Core i7-1165G7,16,1000 GB SSD,Intel Iris Xe Graphics,4799
"15.6""", 1920 x 1080px, 144Hz,Intel Core i7-11800H,16,1000 GB SSD,NVIDIA GeForce RTX 3060,6999
"16.1""", 1920 x 1080px, 60Hz,Intel Core i5-11400H,8,512 GB SSD,NVIDIA GeForce RTX 3050,4899
"15.6""", 1920 x 1080px, 120Hz,AMD Ryzen 5 5600H,8,512 GB SSD,NVIDIA GeForce GTX 1650,3399
"13.5""", 2256 x 1504px, 60Hz,AMD Ryzen 5 4680U,8,256 GB SSD,AMD Radeon Graphics,4828
"15.6""", 1920 x 1080px, 144Hz,Intel Core i5-11400H,16,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,4199
"15.6""", 1920 x 1080px, 60Hz,AMD Ryzen 5 5500U,8,256 GB SSD,AMD Radeon Graphics,3399
"14.2""", 3024 x 1964px, 120Hz,Apple M1 Pro,16,512 GB SSD,Apple M1 Pro (14 rdzeni),9999
"15.6""", 1920 x 1080px, 60Hz,Intel Core i5-1135G7,8,256 GB SSD,Intel Iris Xe Graphics,3799
"13.3""", 1920 x 1080px, 60Hz,Intel Core i5-1135G7,8,512 GB SSD,Intel Iris Xe Graphics,4999
"15.6""", 1920 x 1080px, 60Hz,AMD Ryzen 7 5700U,16,512 GB SSD,AMD Radeon Graphics,3199
"15.6""", 1920 x 1080px, 120Hz,AMD Ryzen 5 5600H,8,512 GB SSD,NVIDIA GeForce RTX 3050,4999
"15.6""", 1920 x 1080px, 60Hz,AMD Ryzen 5 5500U,16,512 GB SSD,AMD Radeon Graphics,2999
"17.3""", 1600 x 900px, 60Hz,Intel Core i3-1115G4,8,512 GB SSD,Intel UHD Graphics,2199
"16.1""", 1920 x 1080px, 60Hz,AMD Ryzen 5 5600H,8,512 GB SSD,NVIDIA GeForce GTX 1650,3399
"15.6""", 1920 x 1080px, 60Hz,AMD Ryzen 5 3500U,8,512 GB SSD,AMD Radeon Vega 8,2399
"15.6""", 1920 x 1080px, 120Hz,Intel Core i5-11260H,16,512 GB SSD,NVIDIA GeForce RTX 3050,4499
"15.6""", 1920 x 1080px, 60Hz,Intel Core i5-9300HF,8,512 GB SSD,NVIDIA GeForce GTX 1650,3299
"15.6""", 1920 x 1080px, 60Hz,AMD Ryzen 5 5600H,16,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,4799
"13.3""", 2560 x 1600px, 60Hz,Apple M1,8,256 GB SSD,Apple M1 (7 rdzeni),5499
"15.6""", 1920 x 1080px, 60Hz,AMD Ryzen 5 5500U,16,512 GB SSD,AMD Radeon Graphics,2899
"14""", 1920 x 1080px, 60Hz,Intel Celeron N4500,4,128 GB Flash,Intel UHD Graphics,1799
"14""", 1920 x 1080px, 60Hz,Intel Celeron N4020,4,128 GB SSD,Intel UHD Graphics 600,1399
"15.6""", 1920 x 1080px, 60Hz,Intel Core i5-1135G7,16,512 GB SSD,Intel Iris Xe Graphics,3599
"15.6""", 1920 x 1080px, 60Hz,Intel Core i5-1135G7,8,512 GB SSD,Intel Iris Xe Graphics,2599
"14""", 1366 x 768px, 60Hz,Intel Celeron N4020,4,128 GB SSD,Intel UHD Graphics 600,1299
"15.6""", 1920 x 1080px, 60Hz,Intel Core i3-1115G4,8,256 GB SSD,Intel UHD Graphics,1999
"13.3""", 2560 x 1600px, 2560 x 1600px,Apple M1,8,256 GB SSD,Apple M1 (7 rdzeni),5299
"15.6""", 1920 x 1080px, 60Hz,Intel Core i5-1135G7,8,512 GB SSD,Intel Iris Xe Graphics,2799
"15.6""", 1920 x 1080px, 60Hz,Intel Core i3-1115G4,8,256 GB SSD,Intel UHD Graphics,2099
"15.6""", 1920 x 1080px, 120Hz,Intel Core i5-10500H,16,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,4075
"14.2""", 3024 x 1964px, 120Hz,Apple M1 Pro,16,512 GB SSD,Apple M1 Pro (14 rdzeni),9999
"15.6""", 1920 x 1080px, 60Hz,Intel Core i5-1035G1,8,512 GB SSD,Intel UHD Graphics,2699
"14""", 1920 x 1080px, 60Hz,Intel Celeron N4500,4,128 GB Flash,Intel UHD Graphics,1399
"15.6""", 1920 x 1080px, 60Hz,AMD Ryzen 5 5500U,8,512 GB SSD,AMD Radeon Graphics,2699
"15.6""", 1920 x 1080px, 60Hz,AMD Ryzen 5 5500U,8,512 GB SSD,AMD Radeon Graphics,2199
"15.6""", 1920 x 1080px, 60Hz,AMD Ryzen 5 5500U,8,512 GB SSD,AMD Radeon Graphics,2799
"13.6""", 2560 x 1664px, 2560 x 1664px,Apple M2,8,256 GB SSD,Apple M2 (8 rdzeni),6349
"15.6""", 1920 x 1080px, 60Hz,Intel Core i5-1135G7,8,512 GB SSD,Intel Iris Xe Graphics,2699
"15.6""", 1920 x 1080px, 144Hz,Intel Core i5-11400H,16,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,4699
"15.6""", 1920 x 1080px, 144Hz,Intel Core i5-11400H,16,512 GB SSD,NVIDIA GeForce RTX 3060,5699
"15.6""", 1920 x 1080px, 60Hz,AMD Ryzen 5 5600H,8,512 GB SSD,NVIDIA GeForce RTX 3050,3999
"14""", 1920 x 1200px, 60Hz,Intel Core i7-1260P,16,1000 GB SSD,Intel Iris Xe Graphics,7199
"14""", 1920 x 1080px, 60Hz,Intel Core i5-1135G7,8,512 GB SSD,Intel Iris Xe Graphics,3099
"15.6""", 1920 x 1080px, 60Hz,AMD Ryzen 5 5500U,8,512 GB SSD,AMD Radeon Graphics,2499
"15.6""", 1920 x 1080px, 60Hz,Intel Core i5-1135G7,16,512 GB SSD,Intel UHD Graphics,3199
"14""", 1366 x 768px, 60Hz,Intel Celeron N4020,4,128 GB SSD,Intel UHD Graphics 600,1299
"16""", 1920 x 1200px, 60Hz,Intel Core i5-12450H,16,512 GB SSD,Intel UHD Graphics,3999
"15.6""", 1920 x 1080px, 120Hz,AMD Ryzen 5 5625U,8,512 GB SSD,AMD Radeon Graphics,2799
"15.6""", 1920 x 1080px, 144Hz,Intel Core i5-11400H,16,512 GB SSD,NVIDIA GeForce RTX 3050,3999
"15.6""", 1920 x 1080px, 60Hz,Intel Core i3-1115G4,8,512 GB SSD,Intel UHD Graphics,2199
"15.6""", 1920 x 1080px, 60Hz,Intel Core i7-1065G7,16,512 GB SSD,Intel Iris Plus Graphics,3199
"15.6""", 1920 x 1080px, 120Hz,AMD Ryzen 5 5600H,16,512 GB SSD,NVIDIA GeForce RTX 3050,4199
"15.6""", 1366 x 768px, 60Hz,Intel Celeron N4020,4,128 GB Flash,Intel UHD Graphics 600,1599
"13.3""", 2560 x 1600px, 60Hz,Apple M1,8,256 GB SSD,Apple M1 (7 rdzeni),5499
"13.3""", 2560 x 1600px, 60Hz,Apple M1,16,256 GB SSD,Apple M1 (7 rdzeni),6499
"12.45""", 1536 x 1024px, Ekran dotykowy,Intel Core i5-1035G1,8,128 GB SSD,Intel UHD Graphics,3263
"16""", 2560 x 1600px, 60Hz,Intel Core i7-1165G7,16,512 GB SSD,Intel Iris Xe Graphics,4129
"15.6""", 1920 x 1080px, 60Hz,Intel Core i3-1115G4,8,512 GB SSD,Intel UHD Graphics,2142
"15.6""", 1920 x 1080px, 60Hz,AMD Ryzen 5 5500U,16,512 GB SSD,AMD Radeon Graphics,3999
"13.6""", 2560 x 1664px, 2560 x 1664px,Apple M2,8,256 GB SSD,Apple M2 (8 rdzeni),6349
"17.3""", 1920 x 1080px, 144Hz,Intel Core i7-11800H,16,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,5399
"13.3""", 2560 x 1600px, 60Hz,Apple M1,8,256 GB SSD,Apple M1 (7 rdzeni),5499
"14""", 1920 x 1080px, 60Hz,Intel Core i5-1135G7,8,512 GB SSD,Intel Iris Xe Graphics,3949
"17.3""", 1920 x 1080px, 144Hz,Intel Core i5-11400H,16,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,5249
"14""", 1920 x 1080px, 60Hz,Intel Core i5-1135G7,8,512 GB SSD,Intel Iris Xe Graphics,3599
"10.5""", 1920 x 1280px, 60Hz,Intel Pentium Gold 6500Y,8,128 GB SSD,Intel UHD Graphics 615,3299
"17.3""", 1920 x 1080px, 144Hz,Intel Core i5-11300H,16,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,4999
"15.6""", 1920 x 1080px, 60Hz,Intel Core i5-1155G7,8,512 GB SSD,Intel Iris Xe Graphics,2709
"14.1""", 1366 x 768px, 1366 x 768px,Intel Celeron N4020,4,128 GB SSD,Intel UHD Graphics 600,999
"15.6""", 1920 x 1080px, 60Hz,Intel Core i5-1155G7,8,512 GB SSD,Intel Iris Xe Graphics,2999
"17.3""", 1920 x 1080px, 144Hz,Intel Core i5-11400H,16,512 GB SSD,NVIDIA GeForce RTX 3050,4999
"13.3""", 2560 x 1600px, 2560 x 1600px,Apple M2,8,256 GB SSD,Apple M2 (10 rdzeni),6539
"15.6""", 1920 x 1080px, 60Hz,Intel Celeron N5100,8,256 GB SSD,Intel UHD Graphics,1649
"15.6""", 1920 x 1080px, 60Hz,AMD Ryzen 7 5700U,16,512 GB SSD,AMD Radeon Graphics,3799
"15.6""", 1920 x 1080px, 60Hz,Intel Core i5-1155G7,16,512 GB SSD,Intel Iris Xe Graphics,3299
"15.6""", 1920 x 1080px, 144Hz,Intel Core i5-11400H,8,512 GB SSD,NVIDIA GeForce RTX 3050,3999
"13.3""", 2560 x 1600px, 60Hz,Apple M1,16,256 GB SSD,Apple M1 (7 rdzeni),6199
"15.6""", 1920 x 1080px, 60Hz,Intel Core i5-1240P,8,512 GB SSD,Intel Iris Xe Graphics,3299
"15.6""", 1920 x 1080px, 144Hz,Intel Core i7-10750H,16,1000 GB SSD,NVIDIA GeForce RTX 3080,9999
"15.6""", 1920 x 1080px, 240Hz,Intel Core i7-10750H,16,512 GB SSD,NVIDIA GeForce RTX 2070,7799
"13.6""", 2560 x 1664px, 2560 x 1664px,Apple M2,8,256 GB SSD,Apple M2 (8 rdzeni),6349
"15.6""", 1920 x 1080px, 144Hz,Intel Core i5-11400H,16,512 GB SSD,NVIDIA GeForce RTX 3050,3999
"15.6""", 1920 x 1080px, 165Hz,AMD Ryzen 5 5600H,8,512 GB SSD,NVIDIA GeForce RTX 3050,4199
"15.6""", 1920 x 1080px, 240Hz,Intel Core i7-10750H,16,1000 GB SSD,NVIDIA GeForce RTX 2080 Super,10699
"15.6""", 1920 x 1080px, 60Hz,Intel Core i7-10750H,8,512 GB SSD,NVIDIA GeForce GTX 1650 Ti,5399
"13.6""", 2560 x 1664px, 2560 x 1664px,Apple M2,8,256 GB SSD,Apple M2 (8 rdzeni),6499
"15.6""", 1920 x 1080px, 60Hz,Intel Core i3-1005G1,4,256 GB SSD,Intel UHD Graphics,1999
"15.6""", 1920 x 1080px, 144Hz,AMD Ryzen 5 4600H,16,512 GB SSD,NVIDIA GeForce GTX 1650,3699
"13.6""", 2560 x 1664px, 2560 x 1664px,Apple M2,8,512 GB SSD,Apple M2 (10 rdzeni),7999
"17.3""", 1920 x 1080px, 60Hz,Intel Core i5-1135G7,16,512 GB SSD,Intel Iris Xe Graphics,3687
"15.6""", 1920 x 1080px, 60Hz,Intel Core i7-1065G7,8,512 GB SSD,Intel Iris Plus Graphics,2999
"15.6""", 1920 x 1080px, 144Hz,Intel Core i7-12650H,16,1000 GB SSD,NVIDIA GeForce RTX 3060,6799
"14""", 2560 x 1440px, 120Hz,AMD Ryzen 7 5800HS,16,512 GB SSD,NVIDIA GeForce RTX 3050,5199
"13.3""", 2560 x 1600px, 2560 x 1600px,Apple M2,8,512 GB SSD,Apple M2 (10 rdzeni),7899
"13.3""", 1920 x 1080px, 60Hz,Intel Core i5-1135G7,16,512 GB SSD,Intel Iris Xe Graphics,3999
"13.3""", 1920 x 1080px, 60Hz,Intel Core i5-1135G7,16,512 GB SSD,Intel Iris Xe Graphics,3999
"14""", 1920 x 1080px, 60Hz,AMD Ryzen 5 4500U,8,512 GB SSD,AMD Radeon Graphics,2999
"15.6""", 1920 x 1080px, 60Hz,AMD Ryzen 3 3250U,8,256 GB SSD,AMD Radeon Graphics,2099
"13.3""", 2560 x 1600px, 2560 x 1600px,Apple M2,8,256 GB SSD,Apple M2 (10 rdzeni),6799
"15.6""", 1920 x 1080px, 60Hz,Intel Core i5-10300H,8,512 GB SSD,NVIDIA GeForce GTX 1650 Ti,4199
"13""", 2880 x 1920px, 60 - 120Hz,Intel Core i5-1135G7,8,128 GB SSD,Intel Iris Xe Graphics,4099
"15.6""", 1920 x 1080px, 60Hz,AMD Ryzen 5 5500U,8,512 GB SSD,AMD Radeon Graphics,2999
"15.6""", 1920 x 1080px, 240Hz,Intel Core i7-11800H,16,1000 GB SSD,NVIDIA GeForce RTX 3070,6999
"15.6""", 1920 x 1080px, 60Hz,Intel Pentium Silver N6000,8,256 GB SSD,Intel UHD Graphics,1799
"10.5""", 1920 x 1280px, Ekran dotykowy,Intel Pentium Gold 6500Y,8,128 GB SSD,Intel UHD Graphics 615,3299
"14.1""", 1366 x 768px, 1366 x 768px,Intel Celeron N3450,4,64 GB SSD,Intel HD Graphics 500,1025
"14""", 1920 x 1080px, 60Hz,Intel Celeron N4020,4,128 GB SSD,Intel UHD Graphics 600,1599
"14""", 1920 x 1080px, 60Hz,Intel Celeron N4020,4,128 GB SSD,Intel UHD Graphics 600,1353
"13.5""", 2256 x 1504px, Dotykowy,Intel Pentium Gold 6405U,4,64 GB Flash,Intel UHD Graphics,2999
"16""", 1920 x 1200px, 60Hz,Intel Core i7-12700H,16,512 GB SSD,Intel Iris Xe Graphics,5099
"14""", 1920 x 1080px, 60Hz,Intel Celeron N4020,4,128 GB SSD,Intel UHD Graphics 600,1249
"15.6""", 1920 x 1080px, 144Hz,AMD Ryzen 7 6800H,16,512 GB SSD,NVIDIA GeForce RTX 3050,4999
"15.6""", 1920 x 1080px, 120Hz,AMD Ryzen 7 5800H,16,512 GB SSD,NVIDIA GeForce RTX 3050,4399
"16.2""", 3456 x 2234px, 120Hz,Apple M1 Pro,16,512 GB SSD,Apple M1 Pro (16 rdzeni),12999
"17.3""", 1920 x 1080px, 144Hz,AMD Ryzen 7 6800H,16,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,5630
"16.2""", 3456 x 2234px, 120Hz,Apple M1 Max,32,1000 GB SSD,Apple M1 Max (32 rdzenie),17999
"15.6""", 1920 x 1080px, 144Hz,Intel Core i5-12500H,16,512 GB SSD,NVIDIA GeForce RTX 3050,5299
"16.1""", 1920 x 1080px, 144Hz,AMD Ryzen 7 5800H,16,1000 GB SSD,NVIDIA GeForce RTX 3060,5699
"15.6""", 1920 x 1080px, 120Hz,AMD Ryzen 5 5600H,8,512 GB SSD,NVIDIA GeForce GTX 1650,3599
"15.6""", 1920 x 1080px, 60Hz,AMD Ryzen 5 5600H,8,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,4299
"17.3""", 2560 x 1440px, 165Hz,AMD Ryzen 7 5800H,16,1000 GB SSD,NVIDIA GeForce RTX 3080,8659
"16""", 1920 x 1200px, 60Hz,Intel Core i5-12450H,8,512 GB SSD,Intel UHD Graphics,3999
"15.6""", 1920 x 1080px, 120Hz,AMD Ryzen 5 5600H,8,512 GB SSD,NVIDIA GeForce GTX 1650,3299
"16.1""", 1920 x 1080px, 144Hz,AMD Ryzen 7 5800H,16,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,4799
"11.6""", 1366 x 768px, 60Hz,Intel Celeron N4020,4,128 GB Flash,Intel UHD Graphics 600,1199
"16.2""", 3456 x 2234px, 120Hz,Apple M1 Pro,16,1000 GB SSD,Apple M1 Pro (16 rdzeni),14219
"15.6""", 2560 x 1440px, 165Hz,AMD Ryzen 7 5800H,16,1000 GB SSD,NVIDIA GeForce RTX 3070,8399
"13.6""", 2560 x 1664px, 2560 x 1664px,Apple M2,8,512 GB SSD,Apple M2 (10 rdzeni),7899
"13.3""", 2560 x 1600px, 2560 x 1600px,Apple M2,16,512 GB SSD,Apple M2 (10 rdzeni),9199
"17.3""", 1920 x 1080px, 360Hz,AMD Ryzen 7 6800H,16,1000 GB SSD,NVIDIA GeForce RTX 3060,8299
"17.3""", 1920 x 1080px, 144Hz,Intel Core i7-12700H,16,1000 GB SSD,NVIDIA GeForce RTX 3060,8649
"17.3""", 1920 x 1080px, 144Hz,Intel Core i7-12700H,16,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,7349
"17.3""", 1920 x 1080px, 144Hz,AMD Ryzen 7 6800H,16,512 GB SSD,NVIDIA GeForce RTX 3050,5999
"15.6""", 1920 x 1080px, 165Hz,AMD Ryzen 5 5600H,8,512 GB SSD,NVIDIA GeForce GTX 1650,4099
