Size,Resolution,Refresh rate,Processor,RAM,Disc,Graphics card,Price in zl
"14.2""", 3024 x 1964px, 120Hz,Apple M1 Pro,32,512 GB SSD,Apple M1 Pro (14 rdzeni),12799
"15.6""", 1920 x 1080px, 60Hz,AMD Ryzen 5 3500U,8,512 GB SSD,AMD Radeon Vega 8,2149
"15.6""", 1920 x 1080px, 144Hz,AMD Ryzen 5 4600H,16,512 GB SSD,NVIDIA GeForce RTX 3050,3899
"15.6""", 1920 x 1080px, 60Hz,Intel Core i5-1135G7,8,256 GB SSD,Intel Iris Xe Graphics,3129
"15.6""", 1920 x 1080px, 144Hz,AMD Ryzen 7 6800H,16,512 GB SSD,NVIDIA GeForce RTX 3050,4949
"15.6""", 1920 x 1080px, 60Hz,AMD Ryzen 7 5700U,8,512 GB SSD,AMD Radeon Graphics,3599
"14""", 1920 x 1080px, 60Hz,AMD Ryzen 5 5500U,8,512 GB SSD,AMD Radeon Graphics,3199
"15.6""", 1920 x 1080px, 60Hz,AMD Athlon Silver 3050U,4,128 GB SSD,AMD Radeon Graphics,1849
"15.6""", 1366 x 768px, 60Hz,Intel Pentium Silver N6000,8,256 GB SSD,Intel UHD Graphics,2299
"15.6""", 1920 x 1080px, 60Hz,Intel Core i5-1135G7,8,256 GB SSD,Intel Iris Xe Graphics,2699
"14""", 1920 x 1080px, 60Hz,Intel Core i3-1115G4,8,512 GB SSD,Intel UHD Graphics,2349
"16""", 2560 x 1600px, 60Hz,Intel Core i5-11300H,16,1000 GB SSD,NVIDIA GeForce MX450,4449
"15.6""", 1920 x 1080px, 120Hz,AMD Ryzen 7 5800H,8,512 GB SSD,NVIDIA GeForce GTX 1650,3599
"15.6""", 1920 x 1080px, 165Hz,AMD Ryzen 7 5800H,16,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,5099
"14""", 1920 x 1080px, 60Hz,Intel Core i5-1135G7,8,512 GB SSD,Intel Iris Xe Graphics,3199
"16.2""", 3456 x 2234px, 120Hz,Apple M1 Pro,16,512 GB SSD,Apple M1 Pro (16 rdzeni),12999
"15.6""", 1920 x 1080px, 120Hz,AMD Ryzen 7 5800H,16,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,4899
"15.6""", 1920 x 1080px, 60Hz,AMD Ryzen 5 5500U,8,512 GB SSD,AMD Radeon Graphics,3149
"13.3""", 2560 x 1600px, 2560 x 1600px,Apple M2,16,256 GB SSD,Apple M2 (10 rdzeni),7999
"13.6""", 2560 x 1664px, 2560 x 1664px,Apple M2,8,512 GB SSD,Apple M2 (10 rdzeni),8799
"15.6""", 1920 x 1080px, 60Hz,AMD Ryzen 5 5600H,16,512 GB SSD,NVIDIA GeForce RTX 3050,5299
"15.6""", 1920 x 1080px, 144Hz,Intel Core i5-11300H,8,512 GB SSD,NVIDIA GeForce RTX 3050,4499
"14.2""", 3024 x 1964px, 120Hz,Apple M1 Pro,32,1000 GB SSD,Apple M1 Pro (16 rdzeni),15499
"13.3""", 1920 x 1200px, 60Hz,Intel Core i5-11320H,16,512 GB SSD,Intel Iris Xe Graphics,4699
"13.3""", 2560 x 1600px, 2560 x 1600px,Apple M2,8,512 GB SSD,Apple M2 (10 rdzeni),8299
"16""", 2560 x 1600px, 120Hz,AMD Ryzen 5 5600H,16,1000 GB SSD,NVIDIA GeForce GTX 1650,4639
"14""", 2240 x 1400px, 60Hz,AMD Ryzen 5 5600H,8,512 GB SSD,AMD Radeon Graphics,3299
"13.3""", 2560 x 1600px, 2560 x 1600px,Apple M2,8,512 GB SSD,Apple M2 (10 rdzeni),7699
"11.6""", 1366 x 768px, 60Hz,MediaTek MT8183,4,32 GB Flash,ARM Mali-G72 MP3,1042
"17.3""", 2560 x 1440px, 165Hz,Intel Core i7-11800H,32,1000 GB SSD,NVIDIA GeForce RTX 3070,10189
"15.6""", 2880 x 1620px, 120Hz,Intel Core i5-12500H,16,512 GB SSD,Intel Iris Xe Graphics,4499
"14""", 1920 x 1080px, 60Hz,Intel Core i7-1195G7,32,1000 GB SSD,NVIDIA GeForce MX450,7509
"17.3""", 1920 x 1080px, 60Hz,Intel Core i5-1135G7,8,256 GB SSD,Intel Iris Xe Graphics,3999
"15.6""", 1920 x 1080px, 60Hz,AMD Ryzen 3 5300U,4,256 GB SSD,AMD Radeon Graphics,2399
"15.6""", 1920 x 1080px, 120Hz,AMD Ryzen 5 5600H,16,512 GB SSD,NVIDIA GeForce GTX 1650,3799
"15.6""", 1920 x 1080px, 60Hz,Intel Core i5-11320H,16,512 GB SSD,Intel Iris Xe Graphics,4299
"16.2""", 3456 x 2234px, 120Hz,Apple M1 Pro,32,1000 GB SSD,Apple M1 Pro (16 rdzeni),16299
"15.6""", 1920 x 1080px, 60Hz,Intel Core i5-11300H,8,512 GB SSD,NVIDIA GeForce GTX 1650,4299
"15.6""", 1920 x 1080px, 60Hz,Intel Core i5-1135G7,8,512 GB SSD,Intel Iris Xe Graphics,3189
"15.6""", 2560 x 1440px, 165Hz,AMD Ryzen 9 5980HX,16,512 GB SSD,AMD Radeon RX 6800M,7433
"15.6""", 1920 x 1080px, 165Hz,AMD Ryzen 5 5600H,8,512 GB SSD,NVIDIA GeForce GTX 1650,3799
"16.2""", 3456 x 2234px, 120Hz,Apple M1 Pro,32,512 GB SSD,Apple M1 Pro (16 rdzeni),14599
"14""", 1920 x 1080px, 60Hz,AMD Ryzen 7 5700U,16,512 GB SSD,AMD Radeon Graphics,4299
"14""", 1920 x 1080px, 60Hz,Intel Core i3-1115G4,8,512 GB SSD,Intel UHD Graphics,2999
"13.4""", 1920 x 1200px, 60Hz,Intel Core i5-1135G7,8,256 GB SSD,Intel Iris Xe Graphics,6979
"15.6""", 1920 x 1080px, 60Hz,Intel Core i7-1195G7,8,512 GB SSD,Intel Iris Xe Graphics,3277
"10.1""", 1280 x 800px, 60Hz,Intel Celeron N4020,4,128 GB Flash,Intel UHD Graphics 600,1099
"15.6""", 1920 x 1080px, 60Hz,Intel Core i7-1165G7,8,512 GB SSD,Intel Iris Xe Graphics,4699
"13.3""", 2560 x 1600px, 2560 x 1600px,Apple M2,16,1000 GB SSD,Apple M2 (10 rdzeni),10399
"15.6""", 1920 x 1080px, 165Hz,AMD Ryzen 7 5800H,16,512 GB SSD,NVIDIA GeForce RTX 3050,4899
"14""", 1920 x 1080px, 60Hz,Intel Core i7-1195G7,16,1000 GB SSD,NVIDIA GeForce MX450,6499
"17.3""", 1920 x 1080px, 144Hz,Intel Core i7-11370H,16,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,5899
"15.6""", 1920 x 1080px, 144Hz,Intel Core i7-11370H,16,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,5499
"15.6""", 1920 x 1080px, 60Hz,Intel Core i5-11300H,8,512 GB SSD,NVIDIA GeForce RTX 3050,3999
"15.6""", 2560 x 1440px, 165Hz,Intel Core i7-11800H,16,1000 GB SSD,NVIDIA GeForce RTX 3070,8499
"15.6""", 1920 x 1080px, 120Hz,Intel Core i5-11260H,16,512 GB SSD,NVIDIA GeForce RTX 3050,4383
"15.6""", 1920 x 1080px, 165Hz,Intel Core i7-11800H,16,512 GB SSD,NVIDIA GeForce RTX 3060,6999
"15.6""", 1920 x 1080px, 144Hz,Intel Core i5-10300H,8,512 GB SSD,NVIDIA GeForce RTX 3050,4559
"15.6""", 1920 x 1080px, 60Hz,AMD Ryzen 5 5600H,8,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,4599
"16.1""", 1920 x 1080px, 144Hz,AMD Ryzen 5 5600H,16,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,4499
"15.6""", 1920 x 1080px, 60Hz,Intel Core i5-1035G1,8,256 GB SSD,Intel UHD Graphics,2899
"15.6""", 1920 x 1080px, 144Hz,AMD Ryzen 7 5800H,32,1000 GB SSD,NVIDIA GeForce RTX 3060,7559
"14""", 2160 x 1440px, 60Hz,Intel Core i5-1135G7,16,512 GB SSD,Intel Iris Xe Graphics,4999
"15.6""", 2560 x 1440px, 165Hz,AMD Ryzen 9 5900HS,32,512 GB SSD,NVIDIA GeForce RTX 3070,8999
"13.6""", 2560 x 1664px, 2560 x 1664px,Apple M2,8,256 GB SSD,Apple M2 (8 rdzeni),6499
"13.3""", 2560 x 1600px, 2560 x 1600px,Apple M2,16,512 GB SSD,Apple M2 (10 rdzeni),8999
"16""", 2560 x 1600px, 2560 x 1600px,Intel Core i7-11370H,16,1000 GB SSD,NVIDIA GeForce MX450,4949
"15.6""", 1920 x 1080px, 144Hz,Intel Core i7-12700H,16,512 GB SSD,NVIDIA GeForce RTX 3070,8299
"15.6""", 3840 x 2160px, 60Hz,Intel Core i7-11800H,16,1000 GB SSD,NVIDIA GeForce RTX 3070 Max-Q,7599
"13.3""", 2560 x 1600px, 2560 x 1600px,Apple M2,16,512 GB SSD,Apple M2 (10 rdzeni),8999
"13.3""", 2560 x 1600px, 2560 x 1600px,Apple M2,16,512 GB SSD,Apple M2 (10 rdzeni),9899
"17.3""", 1920 x 1080px, 60Hz,Intel Celeron N4500,8,128 GB Flash,Intel UHD Graphics,2129
"15.6""", 1920 x 1080px, 165Hz,Intel Core i5-11400H,8,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,4499
"16""", 2560 x 1600px, 120Hz,AMD Ryzen 5 5600H,16,512 GB SSD,NVIDIA GeForce GTX 1650,4449
"17.3""", 2560 x 1440px, 165Hz,Intel Core i7-11800H,32,1000 (x2) GB SSD,NVIDIA GeForce RTX 3070,11199
"15.6""", 1920 x 1080px, 165Hz,Intel Core i7-12700H,16,512 GB SSD,NVIDIA GeForce RTX 3050,6399
"15.6""", 2560 x 1440px, 240Hz,16,1000 GB SSD,NVIDIA GeForce RTX 3070 Ti,Brak,11199
"17.3""", 1920 x 1080px, 144Hz,AMD Ryzen 7 6800H,16,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,5363
"15.6""", 1920 x 1080px, 60Hz,AMD Ryzen 5 5500U,8,512 GB SSD,AMD Radeon Graphics,2999
"15.6""", 1920 x 1080px, 60Hz,Intel Core i5-1135G7,8,512 GB SSD,Intel Iris Xe Graphics,3349
"17.3""", 1920 x 1080px, 144Hz,Intel Core i9-11900H,32,1000 GB SSD,NVIDIA GeForce RTX 3070,9999
"17.3""", 1920 x 1080px, 144Hz,Intel Core i7-11800H,16,1000 GB SSD,NVIDIA GeForce RTX 3060,8399
"17.3""", 1920 x 1080px, 144Hz,Intel Core i7-11370H,16,512 GB SSD,NVIDIA GeForce RTX 3050,5699
"15.6""", 1920 x 1080px, 60Hz,AMD Ryzen 5 5500U,8,512 GB SSD,AMD Radeon Graphics,2599
"14""", 1920 x 1200px, 60Hz,Intel Core i7-1165G7,16,1000 GB SSD,NVIDIA GeForce GTX 1650 Ti,7449
"15.6""", 1920 x 1080px, 144Hz,AMD Ryzen 7 5800H,16,1000 GB SSD,NVIDIA GeForce RTX 3070,7299
"15.6""", 1920 x 1080px, 60Hz,Intel Core i5-11320H,8,512 GB SSD,Intel Iris Xe Graphics,4099
"15.6""", 1920 x 1080px, 120Hz,AMD Ryzen 7 5825U,8,512 GB SSD,AMD Radeon Graphics,3399
"12.6""", 2560 x 1600px, 60Hz,Intel Core i5-1130G7,16,512 GB SSD,Intel Iris Xe Graphics,6499
"15.6""", 1366 x 768px, 60Hz,Intel Celeron N4500,4,128 GB Flash,Intel HD Graphics,1599
"14""", 1920 x 1080px, 60Hz,Intel Core i7-11800H,16,1000 GB SSD,NVIDIA GeForce GTX 1650,7849
"15.6""", 1920 x 1080px, 60Hz,AMD Ryzen 5 5500U,16,512 GB SSD,AMD Radeon Graphics,3999
"14""", 1920 x 1080px, 60Hz,Intel Core i5-1155G7,8,512 GB SSD,Intel Iris Xe Graphics,4199
"13.3""", 2560 x 1600px, 60Hz,Intel Core i5-11320H,16,512 GB SSD,Intel Iris Xe Graphics,4599
"13.3""", 2560 x 1600px, 60Hz,Intel Core i5-11320H,8,512 GB SSD,Intel Iris Xe Graphics,4099
"15.6""", 1920 x 1080px, 144Hz,Intel Core i7-10750H,32,1000 GB SSD,NVIDIA GeForce RTX 3080,9999
"14""", 1920 x 1080px, 144Hz,AMD Ryzen 7 5800HS,16,512 GB SSD,NVIDIA GeForce RTX 3050,5499
"17.3""", 1920 x 1080px, 144Hz,Intel Core i5-10300H,8,512 GB SSD,NVIDIA GeForce RTX 3060,4999
"15.6""", 1920 x 1080px, 300Hz,Intel Core i7-10870H,16,1000 GB SSD,NVIDIA GeForce RTX 3080,10999
"14""", 1920 x 1080px, 60Hz,Intel Core i5-10210U,8,256 GB SSD,Intel UHD Graphics,4999
"13.3""", 2560 x 1600px, 2560 x 1600px,Apple M2,8,256 GB SSD,Apple M2 (10 rdzeni),6539
"14""", 1920 x 1080px, 60Hz,Intel Celeron N4120,4,64 GB Flash,Intel UHD Graphics 600,2299
"16.1""", 1920 x 1080px, 144Hz,Intel Core i5-12500H,16,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,5899
"16.1""", 1920 x 1080px, 144Hz,Intel Core i7-12700H,16,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,6699
"13.6""", 2560 x 1664px, 2560 x 1664px,Apple M2,8,512 GB SSD,Apple M2 (10 rdzeni),8349
"15.6""", 1920 x 1080px, 120Hz,Intel Core i5-11400H,8,512 GB SSD,NVIDIA GeForce GTX 1650,3599
"16""", 2560 x 1600px, 60Hz,Intel Core i7-1260P,16,512 GB SSD,Intel Iris Xe Graphics,7019
"17""", 2560 x 1600px, 60Hz,Intel Core i5-1240P,16,512 GB SSD,Intel Iris Xe Graphics,6569
"17""", 2560 x 1600px, 60Hz,Intel Core i7-1260P,16,512 GB SSD,Intel Iris Xe Graphics,7199
"15.6""", 1920 x 1080px, 120Hz,AMD Ryzen 5 5625U,16,512 GB SSD,AMD Radeon Graphics,3899
"15.6""", 1920 x 1080px, 120Hz,AMD Ryzen 5 5625U,16,512 GB SSD,AMD Radeon Graphics,3899
"11.6""", 1366 x 768px, Dotykowy,MediaTek MT8183,4,64 GB Flash,ARM Mali-G72 MP3,1399
"11.6""", 1366 x 768px, 60Hz,MediaTek MT8183,4,64 GB Flash,ARM Mali-G72 MP3,1249
"13.4""", 1920 x 1200px, 120Hz,Intel Core i7-12700H,16,512 GB SSD,NVIDIA GeForce RTX 3050,8699
"14""", 1920 x 1200px, 144Hz,AMD Ryzen 7 6800HS,16,1000 GB SSD,AMD Radeon RX 6700S,8499
"15.6""", 1920 x 1080px, 60Hz,Intel Core i7-1195G7,8,512 GB SSD,Intel Iris Xe Graphics,3299
"17.3""", 1920 x 1080px, 144Hz,Intel Core i7-11800H,32,1000 (x2) GB SSD,NVIDIA GeForce RTX 3070,10089
"16""", 2560 x 1600px, 165Hz,AMD Ryzen 9 6900HS,32,1000 GB SSD,NVIDIA GeForce RTX 3070 Ti,13999
"15.6""", 1920 x 1080px, 144Hz,AMD Ryzen 5 4600H,16,512 GB SSD,NVIDIA GeForce RTX 3050,4113
"15.6""", 1920 x 1080px, 165Hz,Intel Core i7-12700H,16,512 GB SSD,NVIDIA GeForce RTX 3070 Ti,7799
"15.6""", 1920 x 1080px, 144Hz,Intel Core i7-12700H,16,1000 GB SSD,NVIDIA GeForce RTX 3050,7149
"15.6""", 1920 x 1080px, 60Hz,AMD Athlon Silver 3050U,8,128 GB SSD,AMD Radeon Graphics,1599
"14""", 1920 x 1080px, 60Hz,Intel Core i7-1195G7,8,512 GB SSD,Intel Iris Xe Graphics,3799
"17.3""", 1920 x 1080px, 144Hz,AMD Ryzen 7 6800H,16,512 GB SSD,NVIDIA GeForce RTX 3050,6199
"16.1""", 1920 x 1080px, 60Hz,AMD Ryzen 5 5600H,8,512 GB SSD,NVIDIA GeForce RTX 3050,4099
"16.1""", 2560 x 1440px, 165Hz,AMD Ryzen 9 5900HX,32,1000 GB SSD,NVIDIA GeForce RTX 3070,8899
"17.3""", 1920 x 1080px, 144Hz,Intel Core i7-11800H,32,1000 GB SSD,NVIDIA GeForce RTX 3070,9799
"15.6""", 1920 x 1080px, 60Hz,AMD Ryzen 5 5500U,8,512 GB SSD,AMD Radeon Graphics,2549
"17.3""", 1920 x 1080px, 144Hz,Intel Core i5-11300H,8,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,4799
"15.6""", 1920 x 1080px, 144Hz,Intel Core i5-11300H,8,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,4649
"15.6""", 1920 x 1080px, 60Hz,AMD Ryzen 3 5300U,8,256 GB SSD,AMD Radeon Graphics,2199
"14""", 1920 x 1080px, 60Hz,Intel Core i5-11320H,8,256 GB SSD,Intel Iris Xe Graphics,3999
"15.6""", 1920 x 1080px, 60Hz,Intel Core i5-1135G7,8,512 GB SSD,NVIDIA GeForce MX350,4099
"15.6""", 1920 x 1080px, 60Hz,Intel Core i3-1115G4,8,256 GB SSD,Intel UHD Graphics,2999
"15.6""", 1920 x 1080px, 60Hz,Intel Core i5-1135G7,8,256 GB SSD,Intel UHD Graphics,3299
"15.6""", 1920 x 1080px, 60Hz,AMD Ryzen 5 5600H,8,512 GB SSD,NVIDIA GeForce RTX 3050,4399
"16.1""", 1920 x 1080px, 144Hz,AMD Ryzen 5 5600H,16,512 GB SSD,NVIDIA GeForce RTX 3050,4699
"17.3""", 1920 x 1080px, 144Hz,Intel Core i5-11300H,16,512 GB SSD,NVIDIA GeForce RTX 3050,5099
"14""", 2560 x 1600px, 60Hz,Intel Core i5-11300H,16,512 GB SSD,NVIDIA GeForce GTX 1650,3899
"16.1""", 1920 x 1080px, 144Hz,AMD Ryzen 5 5600H,16,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,4999
"15.6""", 1920 x 1080px, 120Hz,AMD Ryzen 5 5600H,8,512 GB SSD,NVIDIA GeForce GTX 1650,3599
"15.6""", 1920 x 1080px, 240Hz,AMD Ryzen 9 5900H,16,1000 GB SSD,AMD Radeon RX 6700M,7499
"15.6""", 1920 x 1080px, 60Hz,AMD Ryzen 5 5500U,8,512 GB SSD,AMD Radeon Graphics,3199
"15.6""", 1920 x 1080px, 60Hz,AMD Ryzen 3 5300U,4,256 GB SSD,AMD Radeon Graphics,2499
"14""", 1920 x 1080px, 60Hz,AMD Ryzen 7 5700U,16,512 GB SSD,AMD Radeon Graphics,4899
"14""", 1920 x 1080px, 60Hz,Intel Core i7-1195G7,8,512 GB SSD,Intel Iris Xe Graphics,4749
"13.3""", 2560 x 1600px, 60Hz,Intel Core i5-11320H,8,512 GB SSD,Intel Iris Xe Graphics,4199
"16""", 2560 x 1600px, 60Hz,Intel Core i5-1135G7,16,512 GB SSD,Intel Iris Xe Graphics,4349
"14""", 1920 x 1080px, 60Hz,Intel Core i7-1185G7,16,512 GB SSD,NVIDIA GeForce GTX 1650 Max-Q,5299
"15.6""", 1920 x 1080px, 60Hz,AMD Ryzen 5 3450U,8,256 GB SSD,AMD Radeon Vega 8,3199
"16""", 1920 x 1200px, 144Hz,Intel Core i7-11800H,16,1000 GB SSD,NVIDIA GeForce RTX 3050 Ti,7347
"15.6""", 1920 x 1080px, 144Hz,AMD Ryzen 7 5800HS,16,512 GB SSD,NVIDIA GeForce RTX 3060,7999
"14""", 1920 x 1080px, 60Hz,Intel Core i3-1115G4,4,256 GB SSD,Intel UHD Graphics,2399
"15.6""", 2560 x 1440px, 165Hz,AMD Ryzen 7 5800HS,16,512 GB SSD,NVIDIA GeForce RTX 3060,7599
"14.5""", 2560 x 1600px, 60Hz,Intel Core i5-1135G7,8,512 GB SSD,Intel Iris Xe Graphics,4599
"14""", 1920 x 1080px, 60Hz,Intel Core i7-1185G7,16,1000 GB SSD,NVIDIA GeForce GTX 1650 Ti Max-Q,6599
"15.6""", 1920 x 1080px, 240Hz,Intel Core i7-9750H,16,512 GB SSD,NVIDIA GeForce RTX 2070,7799
"10.1""", 1280 x 800px, 60Hz,Intel Celeron N4020,4,128 GB Flash,Intel UHD Graphics 600,999
"16.1""", 1920 x 1080px, 144Hz,Intel Core i5-12500H,16,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,6799
"15.6""", 1920 x 1080px, 60Hz,AMD Ryzen 7 5700U,16,1000 GB SSD,AMD Radeon Graphics,5899
"13.3""", 1920 x 1080px, 60Hz,AMD Ryzen 5 5600U,16,512 GB SSD,AMD Radeon Graphics,5299
"15.6""", 1920 x 1080px, 60Hz,AMD Ryzen 7 5800U,8,512 GB SSD,AMD Radeon Graphics,4299
"13.3""", 2560 x 1600px, 2560 x 1600px,Apple M2,8,256 GB SSD,Apple M2 (10 rdzeni),7499
"14""", 1920 x 1200px, 144Hz,AMD Ryzen 7 6800HS,16,512 GB SSD,AMD Radeon RX 6700S,8399
"14""", 1920 x 1200px, 60Hz,Intel Core i5-1240P,16,512 GB SSD,Intel Iris Xe Graphics,6029
"16""", 2560 x 1600px, 60Hz,Intel Core i7-1260P,16,1000 GB SSD,Intel Iris Xe Graphics,8099
"16""", 2560 x 1600px, 60Hz,Intel Core i7-1260P,16,512 GB SSD,Intel Iris Xe Graphics,7019
"17""", 2560 x 1600px, 60Hz,Intel Core i5-1240P,16,1000 GB SSD,Intel Iris Xe Graphics,7109
"15.6""", 1920 x 1080px, 120Hz,Intel Core i7-12700H,16,512 GB SSD,NVIDIA GeForce RTX 3060,7899
"15.6""", 2560 x 1440px, 240Hz,Intel Core i7-12800HX,32,2000 GB SSD,NVIDIA GeForce RTX 3080 Ti,17899
"11.6""", 1366 x 768px, Dotykowy,MediaTek MT8183,4,64 GB Flash,ARM Mali-G72 MP3,1469
"14""", 1920 x 1080px, 60Hz,Intel Core i5-1130G7,16,512 GB SSD,Intel Iris Xe Graphics,4099
"14""", 1920 x 1080px, 60Hz,Intel Core i5-1130G7,8,512 GB SSD,Intel Iris Xe Graphics,3849
"14""", 1920 x 1080px, 60Hz,Intel Core i3-1110G4,8,256 GB SSD,Intel UHD Graphics,3249
"14""", 1920 x 1080px, 60Hz,Intel Celeron N4500,4,128 GB Flash,Intel UHD Graphics,2149
"17.3""", 1920 x 1080px, 60Hz,Intel Celeron N4500,4,32 GB Flash,Intel UHD Graphics,1899
"15.6""", 1920 x 1080px, 120Hz,AMD Ryzen 7 5800H,8,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,4099
"14""", 2160 x 1140px, 60Hz,Intel Core i5-11320H,16,512 GB SSD,Intel Iris Xe Graphics,4199
"13.5""", 2256 x 1504px, 60Hz,Intel Core i5-1145G7,8,512 GB SSD,Intel Iris Xe Graphics,5999
"13.5""", 2256 x 1504px, 60Hz,Intel Core i5-1145G7,16,512 GB SSD,Intel Iris Xe Graphics,6799
"13.5""", 2256 x 1504px, 60Hz,Intel Core i5-1145G7,16,512 GB SSD,Intel Iris Xe Graphics,6799
"16""", 2560 x 1600px, 240Hz,Intel Core i7-12700H,16,1000 GB SSD,NVIDIA GeForce RTX 3070 Ti,11749
"16""", 2560 x 1600px, 240Hz,Intel Core i9-12900H,16,1000 GB SSD,NVIDIA GeForce RTX 3080 Ti,16799
"16""", 2560 x 1600px, 240Hz,Intel Core i9-12900H,16,2000 GB SSD,NVIDIA GeForce RTX 3080 Ti,17549
"15.6""", 2560 x 1440px, 165Hz,Intel Core i7-12700H,32,1000 GB SSD,NVIDIA GeForce RTX 3070 Ti,12449
"15.6""", 1920 x 1080px, 165Hz,Intel Core i7-12700H,16,1000 GB SSD,NVIDIA GeForce RTX 3060,8999
"17.3""", 1920 x 1080px, 165Hz,Intel Core i7-12700H,16,1000 GB SSD,NVIDIA GeForce RTX 3070 Ti,9499
"17.3""", 1920 x 1080px, 165Hz,Intel Core i7-12700H,32,1000 GB SSD,NVIDIA GeForce RTX 3070 Ti,11099
"15.6""", 1920 x 1080px, 360Hz,Intel Core i7-11800H,32,1000 GB SSD,NVIDIA GeForce RTX 3070,10299
"17.3""", 2560 x 1440px, 165Hz,Intel Core i7-11800H,16,1000 GB SSD,NVIDIA GeForce RTX 3070,9899
"15.6""", 1920 x 1080px, 144Hz,Intel Core i7-12700H,16,512 GB SSD,NVIDIA GeForce RTX 3050,6149
"15.6""", 2560 x 1440px, 165Hz,Intel Core i7-12700H,16,1000 GB SSD,NVIDIA GeForce RTX 3070 Ti,9199
"15.6""", 2560 x 1440px, 165Hz,Intel Core i7-12700H,16,1000 GB SSD,NVIDIA GeForce RTX 3070 Ti,9799
"15.6""", 1920 x 1080px, 60Hz,AMD Ryzen 3 3250U,8,512 GB SSD,AMD Radeon RX Vega 3,2299
"14""", 1920 x 1080px, 60Hz,Intel Core i5-1155G7,8,512 GB SSD,Intel Iris Xe Graphics,3199
"15.6""", 1920 x 1080px, 60Hz,Intel Core i5-12500H,16,512 GB SSD,Intel Iris Xe Graphics,4399
"13.3""", 1920 x 1080px, 60Hz,Intel Core i7-1165G7,16,512 GB SSD,Intel Iris Xe Graphics,5399
"16.1""", 1920 x 1080px, 144Hz,Intel Core i7-11800H,16,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,6149
"16.1""", 1920 x 1080px, 144Hz,AMD Ryzen 7 5800H,16,1000 GB SSD,NVIDIA GeForce RTX 3060,6499
"16.1""", 1920 x 1080px, 144Hz,Intel Core i7-11800H,16,512 GB SSD,NVIDIA GeForce RTX 3060,6299
"16.1""", 1920 x 1080px, 144Hz,AMD Ryzen 7 5800H,16,1000 GB SSD,NVIDIA GeForce RTX 3070,8399
