Size,Resolution,Refresh rate,Processor,RAM,Disc,Graphics card,Price in zl
"16.1""", 1920 x 1080px, 144Hz,Intel Core i7-11800H,32,1000 GB SSD,NVIDIA GeForce RTX 3060,7849
"15.6""", 1920 x 1080px, 60Hz,AMD Ryzen 5 5500U,8,512 GB SSD,AMD Radeon Graphics,2599
"14""", 1920 x 1080px, 60Hz,AMD Ryzen 3 5300U,4,256 GB SSD,AMD Radeon Graphics,2379
"15.6""", 1920 x 1080px, 144Hz,AMD Ryzen 7 5800H,8,512 GB SSD,NVIDIA GeForce RTX 3050,4499
"15.6""", 1920 x 1080px, 60Hz,Intel Core i5-1135G7,8,512 GB SSD,Intel Iris Xe Graphics,2999
"15.6""", 1920 x 1080px, 60Hz,Intel Core i5-11300H,8,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,3899
"15.6""", 1920 x 1080px, 165Hz,Intel Core i7-11800H,16,512 GB SSD,NVIDIA GeForce RTX 3060,6999
"16""", 1920 x 1200px, 60Hz,AMD Ryzen 5 5625U,8,512 GB SSD,AMD Radeon Graphics,3999
"14""", 1920 x 1080px, 60Hz,Intel Core i5-11320H,8,256 GB SSD,Intel Iris Xe Graphics,4199
"15.6""", 1920 x 1080px, 120Hz,Intel Core i7-12700H,16,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,6599
"14""", 1920 x 1200px, 60Hz,AMD Ryzen 7 5825U,16,512 GB SSD,AMD Radeon Graphics,4899
"15.6""", 1920 x 1080px, 120Hz,AMD Ryzen 7 5825U,8,512 GB SSD,AMD Radeon Graphics,4099
"15.6""", 1920 x 1080px, 60Hz,Intel Core i3-1115G4,8,256 GB SSD,Intel UHD Graphics,2799
"17.3""", 2560 x 1440px, 165Hz,Intel Core i7-11800H,16,1000 GB SSD,NVIDIA GeForce RTX 3070,12499
"16""", 2520 x 1680px, 60Hz,AMD Ryzen 5 5600H,16,512 GB SSD,AMD Radeon Graphics,4844
"16.1""", 1920 x 1080px, 144Hz,AMD Ryzen 5 5600H,16,512 GB SSD,NVIDIA GeForce RTX 3050,4299
"14.1""", 1366 x 768px, 60Hz,AMD A4-9120e,4,128 GB Flash,AMD Radeon R3,1499
"17.3""", 1920 x 1080px, 144Hz,Intel Core i5-11300H,16,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,4999
"17.3""", 1920 x 1080px, 144Hz,Intel Core i7-11370H,16,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,5499
"15.6""", 1920 x 1080px, 60Hz,AMD Ryzen 5 5500U,8,512 GB SSD,AMD Radeon Graphics,3169
"17.3""", 1920 x 1080px, 144Hz,Intel Core i5-11300H,8,512 GB SSD,NVIDIA GeForce RTX 3050,4899
"15.6""", 2560 x 1440px, 165Hz,AMD Ryzen 7 6800H,16,1000 GB SSD,NVIDIA GeForce RTX 3070 Ti,8999
"15.6""", 1920 x 1080px, 120Hz,AMD Ryzen 7 5800H,8,512 GB SSD,NVIDIA GeForce GTX 1650,3999
"15.6""", 1920 x 1080px, 120Hz,Intel Core i5-11300H,8,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,3999
"15.6""", 1920 x 1080px, 60Hz,Intel Core i5-1135G7,8,512 GB SSD,Intel Iris Xe Graphics,2599
"14""", 2240 x 1400px, 60Hz,Intel Core i5-1135G7,8,512 GB SSD,Intel Iris Xe Graphics,3699
"15.6""", 1920 x 1080px, 60Hz,Intel Core i5-1135G7,8,512 GB SSD,Intel Iris Xe Graphics,4999
"16""", 2560 x 1600px, 165Hz,Intel Core i9-11900H,16,1000 GB SSD,NVIDIA GeForce RTX 3080,14499
"15.6""", 1920 x 1080px, 60Hz,AMD Ryzen 5 5500U,8,256 GB SSD,AMD Radeon Graphics,3099
"14""", 1920 x 1080px, 60Hz,Intel Core i7-1165G7,8,512 GB SSD,Intel Iris Xe Graphics,4599
"10.5""", 1920 x 1280px, 60Hz,Intel Pentium Gold 4425Y,8,128 GB SSD,Intel HD Graphics 615,3299
"13.3""", 1920 x 1080px, 60Hz,Intel Core i5-11320H,8,512 GB SSD,Intel Iris Xe Graphics,3799
"15.6""", 1920 x 1080px, 165Hz,Intel Core i7-11800H,16,1000 GB SSD,NVIDIA GeForce RTX 3060,6999
"15.6""", 1920 x 1080px, 120Hz,Intel Core i5-11400H,16,512 GB SSD,NVIDIA GeForce RTX 3050,4799
"14""", 1920 x 1080px, 60Hz,Intel Core i7-1195G7,8,512 GB SSD,Intel Iris Xe Graphics,4899
"14""", 1920 x 1080px, 60Hz,Intel Core i5-1155G7,8,512 GB SSD,NVIDIA GeForce MX350,4999
"16.2""", 3456 x 2234px, 120Hz,Apple M1 Pro,16,1000 GB SSD,Apple M1 Pro (16 rdzeni),13604
"14.2""", 3024 x 1964px, 120Hz,Apple M1 Pro,16,1000 GB SSD,Apple M1 Pro (16 rdzeni),12999
"16.2""", 3456 x 2234px, 120Hz,Apple M1 Max,32,1000 GB SSD,Apple M1 Max (32 rdzenie),18299
"15.6""", 2560 x 1440px, 165Hz,Intel Core i7-11800H,16,2000 GB SSD,NVIDIA GeForce RTX 3080,12169
"15.6""", 1920 x 1080px, 60Hz,Intel Core i5-1135G7,8,256 GB SSD,Intel Iris Xe Graphics,3149
"15.6""", 2560 x 1440px, 165Hz,Intel Core i7-11800H,16,1000 GB SSD,NVIDIA GeForce RTX 3080,10999
"15.6""", 1920 x 1080px, 60Hz,AMD Ryzen 3 5300U,8,256 GB SSD,AMD Radeon Graphics,2849
"14.2""", 2520 x 1680px, 90Hz,Intel Core i5-11300H,8,512 GB SSD,Intel Iris Xe Graphics,4404
"15.6""", 3840 x 2160px, 60Hz,Intel Core i7-10875H,32,1000 (x2) GB SSD,NVIDIA Quadro RTX 5000,18999
"14""", 1920 x 1080px, 60Hz,Intel Core i7-1165G7,8,512 GB SSD,NVIDIA GeForce MX330,4299
"13.3""", 1920 x 1080px, 60Hz,Intel Core i5-10210U,8,256 GB SSD,Intel UHD Graphics,5049
"15.6""", 1920 x 1080px, 165Hz,Intel Core i7-12700H,16,512 GB SSD,NVIDIA GeForce RTX 3060,8499
"13.6""", 2560 x 1664px, 60Hz,Apple M2,8,256 GB SSD,Apple M2 (8 rdzeni),6699
"13.6""", 2560 x 1664px, 60Hz,Apple M2,8,256 GB SSD,Apple M2 (8 rdzeni),6499
"13.6""", 2560 x 1664px, 60Hz,Apple M2,8,256 GB SSD,Apple M2 (8 rdzeni),6999
"15.6""", 1920 x 1080px, 120Hz,AMD Ryzen 5 5600H,16,512 GB SSD,NVIDIA GeForce RTX 3050,4399
"16""", 1920 x 1200px, 60Hz,AMD Ryzen 5 5625U,16,512 GB SSD,AMD Radeon Graphics,4499
"14.2""", 3120 x 2080px, 90Hz,Intel Core i7-1260P,16,512 GB SSD,Intel Iris Xe Graphics,8499
"17.3""", 1920 x 1080px, 360Hz,Intel Core i7-12700H,16,1000 GB SSD,NVIDIA GeForce RTX 3060,9199
"15.6""", 3840 x 2160px, 60Hz,Intel Core i7-12700H,16,1000 GB SSD,NVIDIA GeForce RTX 3060,9199
"16.1""", 2560 x 1440px, 165Hz,Intel Core i7-12700H,16,1000 GB SSD,NVIDIA GeForce RTX 3070 Ti,10699
"16.1""", 1920 x 1080px, 144Hz,Intel Core i5-12500H,16,512 GB SSD,NVIDIA GeForce RTX 3060,6799
"16.1""", 1920 x 1080px, 144Hz,Intel Core i5-12500H,8,512 GB SSD,NVIDIA GeForce GTX 1650,4699
"16.1""", 1920 x 1080px, 144Hz,AMD Ryzen 7 5800H,16,1000 GB SSD,NVIDIA GeForce RTX 3060,7099
"16.1""", 1920 x 1080px, 144Hz,AMD Ryzen 7 5800H,16,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,6099
"16.1""", 1920 x 1080px, 144Hz,Intel Core i5-12500H,8,512 GB SSD,NVIDIA GeForce GTX 1650,5099
"16.1""", 2560 x 1440px, 165Hz,AMD Ryzen 9 5900HX,32,1000 GB SSD,NVIDIA GeForce RTX 3070,10699
"16.1""", 2560 x 1440px, 165Hz,AMD Ryzen 7 5800H,32,1000 GB SSD,NVIDIA GeForce RTX 3070,9299
"16.1""", 1920 x 1080px, 144Hz,AMD Ryzen 7 5800H,32,1000 GB SSD,NVIDIA GeForce RTX 3070,8999
"16.1""", 1920 x 1080px, 144Hz,AMD Ryzen 7 5800H,16,1000 GB SSD,NVIDIA GeForce RTX 3070,9099
"16.1""", 1920 x 1080px, 144Hz,AMD Ryzen 7 5800H,16,512 GB SSD,NVIDIA GeForce RTX 3070,8299
"16.1""", 2560 x 1440px, 165Hz,AMD Ryzen 7 5800H,16,512 GB SSD,NVIDIA GeForce RTX 3070,8499
"16.1""", 1920 x 1080px, 144Hz,Intel Core i5-12500H,16,512 GB SSD,NVIDIA GeForce RTX 3060,7599
"16.1""", 1920 x 1080px, 144Hz,AMD Ryzen 7 5800H,16,1000 GB SSD,NVIDIA GeForce RTX 3070,8499
"15.6""", 1920 x 1080px, 60Hz,AMD Ryzen 5 5500U,16,1000 GB SSD,AMD Radeon Graphics,5399
"16.1""", 1920 x 1080px, 144Hz,AMD Ryzen 7 5800H,16,1000 GB SSD,NVIDIA GeForce RTX 3060,6499
"16.1""", 2560 x 1440px, 165Hz,AMD Ryzen 7 5800H,16,1000 GB SSD,NVIDIA GeForce RTX 3060,6899
"16.1""", 2560 x 1440px, 165Hz,AMD Ryzen 7 5800H,16,1000 GB SSD,NVIDIA GeForce RTX 3060,7499
"16.1""", 1920 x 1080px, 144Hz,Intel Core i5-12500H,16,512 GB SSD,Intel Iris Xe Graphics,5399
"16.1""", 1920 x 1080px, 144Hz,Intel Core i5-12500H,16,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,5599
"16.1""", 1920 x 1080px, 144Hz,Intel Core i5-12500H,16,512 GB SSD,NVIDIA GeForce RTX 3060,6299
"16.1""", 1920 x 1080px, 144Hz,Intel Core i7-12700H,16,512 GB SSD,NVIDIA GeForce RTX 3060,7399
"16.1""", 1920 x 1080px, 144Hz,Intel Core i7-12700H,16,512 GB SSD,NVIDIA GeForce RTX 3060,6799
"16.1""", 2560 x 1440px, 165Hz,Intel Core i7-12700H,16,1000 GB SSD,NVIDIA GeForce RTX 3060,8999
"13.3""", 1920 x 1080px, 60Hz,Intel Core i7-1165G7,8,512 GB SSD,Intel Iris Xe Graphics,4899
"14""", 1920 x 1080px, 60Hz,AMD Ryzen 7 5800U,8,512 GB SSD,AMD Radeon Graphics,4199
"15.6""", 1920 x 1080px, 60Hz,AMD Ryzen 7 5700U,8,512 GB SSD,AMD Radeon Graphics,3899
"15.6""", 2560 x 1440px, 165Hz,AMD Ryzen 5 5600H,16,1000 GB SSD,NVIDIA GeForce RTX 3070,7999
"16""", 2560 x 1600px, 165Hz,AMD Ryzen 9 6900HS,32,1000 GB SSD,NVIDIA GeForce RTX 3070 Ti,16523
"16""", 2560 x 1600px, 165Hz,AMD Ryzen 7 6800HS,32,1000 GB SSD,NVIDIA GeForce RTX 3060,11699
"14""", 1920 x 1080px, 60Hz,Intel Core i7-1280P,16,1000 GB SSD,NVIDIA GeForce RTX 3050,7499
"14""", 1920 x 1200px, 60Hz,Intel Core i5-1240P,16,512 GB SSD,Intel Iris Xe Graphics,7109
"14""", 1920 x 1200px, 60Hz,Intel Core i5-1240P,16,512 GB SSD,Intel Iris Xe Graphics,6029
"15.6""", 1920 x 1080px, 60Hz,Intel Core i5-1240P,16,512 GB SSD,Intel Iris Xe Graphics,6209
"15.6""", 1920 x 1080px, 60Hz,Intel Core i5-1240P,16,512 GB SSD,Intel Iris Xe Graphics,6209
"16""", 2560 x 1600px, 60Hz,Intel Core i7-1260P,16,1000 GB SSD,Intel Iris Xe Graphics,8099
"16""", 2560 x 1600px, 60Hz,Intel Core i5-1240P,16,512 GB SSD,Intel Iris Xe Graphics,6479
"17""", 2560 x 1600px, 60Hz,Intel Core i7-1260P,16,1000 GB SSD,Intel Iris Xe Graphics,7649
"15.6""", 1920 x 1080px, 60Hz,Intel Core i5-1135G7,8,256 GB SSD,Intel Iris Xe Graphics,3599
"13.4""", 3456 x 2160px, 60Hz,Intel Core i7-1260P,16,1000 GB SSD,Intel Iris Xe Graphics,11799
"13.4""", 1920 x 1200px, 1920 x 1200px,Intel Core i5-1240P,8,512 GB SSD,Intel Iris Xe Graphics,9399
"15.6""", 1920 x 1080px, 165Hz,Intel Core i7-12700H,32,1000 GB SSD,NVIDIA GeForce RTX 3060,9199
"13.4""", 1920 x 1200px, 60Hz,Intel Core i7-1260P,16,1000 GB SSD,Intel Iris Xe Graphics,10999
"13.4""", 1920 x 1200px, 60Hz,Intel Core i5-1240P,8,512 GB SSD,Intel Iris Xe Graphics,9599
"13.4""", 1920 x 1200px, 60Hz,Intel Core i7-1260P,16,1000 GB SSD,Intel Iris Xe Graphics,11199
"13.4""", 1920 x 1200px, 60Hz,Intel Core i7-1260P,16,512 GB SSD,Intel Iris Xe Graphics,10499
"15.6""", 1920 x 1080px, 165Hz,AMD Ryzen 7 6800H,16,1000 GB SSD,NVIDIA GeForce RTX 3070 Ti,9899
"13.4""", 1920 x 1200px, 60Hz,Intel Core i7-1260P,16,512 GB SSD,Intel Iris Xe Graphics,10699
"15.6""", 1920 x 1080px, 120Hz,AMD Ryzen 5 6600H,16,512 GB SSD,NVIDIA GeForce RTX 3050,5699
"15.6""", 1920 x 1080px, 240Hz,Intel Core i7-12700H,32,1000 GB SSD,NVIDIA GeForce RTX 3070 Ti,11399
"15.6""", 1920 x 1080px, 240Hz,Intel Core i7-12700H,32,1000 GB SSD,NVIDIA GeForce RTX 3060,9899
"15.6""", 1920 x 1080px, 120Hz,Intel Core i7-12700H,16,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,6899
"11.6""", 1366 x 768px, 60Hz,MediaTek MT8183,4,32 GB Flash,ARM Mali-G72 MP3,1349
"11.6""", 1366 x 768px, Dotykowy,MediaTek MT8183,4,32 GB Flash,ARM Mali-G72 MP3,1429
"14""", 1920 x 1080px, 60Hz,Intel Core i3-1110G4,8,128 GB SSD,Intel UHD Graphics,3199
"14""", 1920 x 1080px, 60Hz,AMD Ryzen 3 3250C,8,128 GB SSD,AMD Radeon Graphics,2799
"14""", 1920 x 1080px, 60Hz,AMD Athlon Silver 3050C,4,128 GB SSD,AMD Radeon Graphics,2399
"14""", 1920 x 1080px, 60Hz,Intel Celeron N4500,4,64 GB Flash,Intel UHD Graphics,2099
"14""", 1920 x 1080px, 60Hz,Intel Celeron N4500,4,32 GB Flash,Intel UHD Graphics,2049
"17.3""", 1920 x 1080px, 60Hz,Intel Celeron N4500,4,128 GB Flash,Intel UHD Graphics,1999
"17.3""", 1920 x 1080px, 60Hz,Intel Celeron N4500,4,64 GB Flash,Intel UHD Graphics,1949
"15.6""", 1920 x 1080px, 165Hz,AMD Ryzen 5 5600H,16,1000 GB SSD,NVIDIA GeForce RTX 3050,4699
"13.4""", 1920 x 1200px, 120Hz,AMD Ryzen 7 6800HS,16,512 GB SSD,NVIDIA GeForce RTX 3050,7199
"14""", 2160 x 1140px, 60Hz,Intel Core i5-11320H,16,512 GB SSD,Intel Iris Xe Graphics,4199
"15""", 2496 x 1664px, 60Hz,AMD Ryzen 7 4980U,8,256 GB SSD,AMD Radeon RX Vega 11,6099
"13.5""", 2256 x 1504px, 60Hz,Intel Core i5-1145G7,8,512 GB SSD,Intel Iris Xe Graphics,6099
"16""", 2560 x 1600px, 240Hz,Intel Core i9-12900H,32,2000 GB SSD,NVIDIA GeForce RTX 3070 Ti,17499
"16""", 2560 x 1600px, 240Hz,Intel Core i9-12900H,16,2000 GB SSD,NVIDIA GeForce RTX 3070 Ti,16799
"16""", 2560 x 1600px, 240Hz,Intel Core i9-12900H,16,1000 GB SSD,NVIDIA GeForce RTX 3070 Ti,15899
"16""", 2560 x 1600px, 240Hz,Intel Core i7-12700H,16,1000 GB SSD,NVIDIA GeForce RTX 3080 Ti,15249
"16""", 2560 x 1600px, 240Hz,Intel Core i7-12700H,16,2000 GB SSD,NVIDIA GeForce RTX 3070 Ti,12499
"16""", 2560 x 1600px, 240Hz,Intel Core i9-12900H,32,2000 GB SSD,NVIDIA GeForce RTX 3080 Ti,18199
"17.3""", 1920 x 1080px, 144Hz,Intel Core i7-12700H,32,1000 GB SSD,NVIDIA GeForce RTX 3060,10049
"15.6""", 1920 x 1080px, 165Hz,Intel Core i7-12700H,32,1000 GB SSD,NVIDIA GeForce RTX 3070 Ti,12199
"17.3""", 1920 x 1080px, 144Hz,Intel Core i5-12500H,16,1000 GB SSD,NVIDIA GeForce RTX 3060,8099
"15.6""", 1920 x 1080px, 165Hz,Intel Core i7-12700H,16,1000 GB SSD,NVIDIA GeForce RTX 3070 Ti,11549
"15.6""", 1920 x 1080px, 165Hz,Intel Core i7-12700H,32,1000 GB SSD,NVIDIA GeForce RTX 3060,10399
"17.3""", 1920 x 1080px, 144Hz,Intel Core i7-12700H,16,512 GB SSD,NVIDIA GeForce RTX 3050,6199
"15.6""", 2560 x 1440px, 165Hz,Intel Core i7-12700H,16,1000 GB SSD,NVIDIA GeForce RTX 3070 Ti,11799
"17.3""", 1920 x 1080px, 144Hz,Intel Core i7-12700H,16,1000 GB SSD,NVIDIA GeForce RTX 3060,8049
"15.6""", 1920 x 1080px, 165Hz,Intel Core i7-12700H,16,1000 GB SSD,NVIDIA GeForce RTX 3050 Ti,7549
"15.6""", 1920 x 1080px, 165Hz,Intel Core i7-12700H,16,1000 GB SSD,NVIDIA GeForce RTX 3060,8399
"17.3""", 1920 x 1080px, 144Hz,Intel Core i7-12700H,16,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,7449
"15.6""", 1920 x 1080px, 144Hz,Intel Core i7-12700H,16,512 GB SSD,NVIDIA GeForce RTX 3050,6749
"17.3""", 1920 x 1080px, 144Hz,Intel Core i7-12700H,16,1000 GB SSD,NVIDIA GeForce RTX 3070 Ti,9849
"15.6""", 1920 x 1080px, 144Hz,Intel Core i7-12700H,16,1000 GB SSD,NVIDIA GeForce RTX 3050 Ti,7299
"15.6""", 1920 x 1080px, 165Hz,Intel Core i7-12700H,16,512 GB SSD,NVIDIA GeForce RTX 3060,7399
"15.6""", 1920 x 1080px, 165Hz,Intel Core i7-12700H,16,1000 GB SSD,NVIDIA GeForce RTX 3070 Ti,9449
"15.6""", 1920 x 1080px, 144Hz,Intel Core i5-12500H,16,1000 GB SSD,NVIDIA GeForce RTX 3050 Ti,6749
"15.6""", 1920 x 1080px, 144Hz,Intel Core i7-12700H,16,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,6949
"15.6""", 1920 x 1080px, 165Hz,Intel Core i5-12500H,16,512 GB SSD,NVIDIA GeForce RTX 3050,6449
"15.6""", 1920 x 1080px, 165Hz,Intel Core i7-12700H,16,1000 GB SSD,NVIDIA GeForce RTX 3050,7399
"15.6""", 1920 x 1080px, 144Hz,Intel Core i7-12700H,16,1000 GB SSD,NVIDIA GeForce RTX 3060,8149
"15.6""", 1920 x 1080px, 165Hz,Intel Core i7-12700H,16,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,6599
"15.6""", 1920 x 1080px, 144Hz,Intel Core i5-12500H,16,512 GB SSD,NVIDIA GeForce RTX 3050,6199
"15.6""", 1920 x 1080px, 60Hz,AMD Ryzen 3 3250U,4,128 GB SSD,AMD Radeon RX Vega 3,2249
"15.6""", 1920 x 1080px, 165Hz,Intel Core i7-12700H,16,512 GB SSD,NVIDIA GeForce RTX 3070 Ti,9649
"15.6""", 1920 x 1080px, 144Hz,Intel Core i7-12700H,16,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,5899
"15.6""", 2560 x 1440px, 165Hz,Intel Core i7-12700H,16,512 GB SSD,NVIDIA GeForce RTX 3070 Ti,9449
"15.6""", 1920 x 1080px, 165Hz,Intel Core i7-12700H,16,1000 GB SSD,NVIDIA GeForce RTX 3070 Ti,9549
"15.6""", 1920 x 1080px, 60Hz,AMD Athlon Silver 3050U,4,128 GB SSD,AMD Radeon Graphics,1749
"13.4""", 3840 x 2400px, 60Hz,AMD Ryzen 9 6900HS,32,1000 GB SSD,NVIDIA GeForce RTX 3050 Ti,13999
"16""", 2560 x 1600px, 165Hz,Intel Core i7-12700H,16,1000 GB SSD,NVIDIA GeForce RTX 3060,9399
"15.6""", 2560 x 1440px, 165Hz,AMD Ryzen 7 6800HS,16,1000 GB SSD,NVIDIA GeForce RTX 3060,8399
"17.3""", 2560 x 1440px, 240Hz,AMD Ryzen 7 6800H,16,1000 GB SSD,NVIDIA GeForce RTX 3060,8399
"15.6""", 1920 x 1080px, 144Hz,Intel Core i7-12650H,16,1000 GB SSD,NVIDIA GeForce RTX 3060,6799
"15.6""", 1920 x 1080px, 300Hz,16,1000 GB SSD,NVIDIA GeForce RTX 3070 Ti,Brak,10999
"15.6""", 2560 x 1440px, 165Hz,AMD Ryzen 7 6800H,16,1000 GB SSD,NVIDIA GeForce RTX 3070 Ti,9399
"15.6""", 1920 x 1080px, 144Hz,AMD Ryzen 7 6800H,16,512 GB SSD,NVIDIA GeForce RTX 3050,6499
"15.6""", 1920 x 1080px, 144Hz,AMD Ryzen 7 4800H,16,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,4899
"15.6""", 1920 x 1080px, 60Hz,AMD Ryzen 7 4800H,16,512 GB SSD,AMD Radeon Graphics,4399
"14""", 2880 x 1800px, 90Hz,AMD Ryzen 5 5625U,16,512 GB SSD,AMD Radeon Graphics,4999
"14""", 2880 x 1800px, 90Hz,AMD Ryzen 5 5600H,16,512 GB SSD,AMD Radeon Graphics,4799
"16.1""", 1920 x 1080px, 144Hz,AMD Ryzen 7 5800H,16,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,5599
"16.1""", 1920 x 1080px, 144Hz,Intel Core i7-11800H,16,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,5599
"16.1""", 2560 x 1440px, 165Hz,AMD Ryzen 9 5900HX,32,1000 GB SSD,NVIDIA GeForce RTX 3070,9499
"16.1""", 1920 x 1080px, 144Hz,Intel Core i7-11800H,8,512 GB SSD,NVIDIA GeForce RTX 3060,6499
"16.1""", 1920 x 1080px, 144Hz,Intel Core i5-11400H,8,512 GB SSD,NVIDIA GeForce GTX 1650,4649
"16.1""", 1920 x 1080px, 144Hz,Intel Core i5-11400H,16,512 GB SSD,NVIDIA GeForce RTX 3050,5199
"16.1""", 1920 x 1080px, 144Hz,AMD Ryzen 7 5800H,32,1000 GB SSD,NVIDIA GeForce RTX 3070,8199
"16.1""", 1920 x 1080px, 60Hz,Intel Core i5-11400H,8,512 GB SSD,NVIDIA GeForce GTX 1650,4549
"16.1""", 1920 x 1080px, 144Hz,AMD Ryzen 7 5800H,16,512 GB SSD,NVIDIA GeForce RTX 3070,7499
"16.1""", 1920 x 1080px, 144Hz,Intel Core i7-11800H,32,1000 GB SSD,NVIDIA GeForce RTX 3070,8799
"16.1""", 1920 x 1080px, 144Hz,AMD Ryzen 7 5800H,16,1000 GB SSD,NVIDIA GeForce RTX 3070,7799
"16.1""", 1920 x 1080px, 144Hz,Intel Core i7-11800H,16,1000 GB SSD,NVIDIA GeForce RTX 3070,8399
"16.1""", 1920 x 1080px, 144Hz,Intel Core i7-11800H,16,1000 GB SSD,NVIDIA GeForce RTX 3060,7499
"17.3""", 1920 x 1080px, 144Hz,Intel Core i7-11800H,32,1000 GB SSD,NVIDIA GeForce RTX 3070,9099
"17.3""", 2560 x 1440px, 165Hz,Intel Core i9-11900H,32,1000 GB SSD,NVIDIA GeForce RTX 3080,12399
"17.3""", 1920 x 1080px, 144Hz,Intel Core i7-11800H,16,1000 GB SSD,NVIDIA GeForce RTX 3070,9299
"17.3""", 1920 x 1080px, 144Hz,Intel Core i7-11800H,16,1000 GB SSD,NVIDIA GeForce RTX 3070,8699
"17.3""", 2560 x 1440px, 165Hz,Intel Core i7-11800H,16,1000 GB SSD,NVIDIA GeForce RTX 3060,7999
"17.3""", 1920 x 1080px, 144Hz,Intel Core i7-11800H,16,1000 GB SSD,NVIDIA GeForce RTX 3060,7799
"15.6""", 1920 x 1080px, 60Hz,AMD Ryzen 5 5600H,16,512 GB SSD,NVIDIA GeForce GTX 1650,3949
"15.6""", 1920 x 1080px, 60Hz,Intel Core i5-11400H,16,1000 GB SSD,NVIDIA GeForce RTX 3050,7449
"15.6""", 3840 x 2160px, 60Hz,Intel Core i7-11800H,32,2000 GB SSD,NVIDIA GeForce RTX 3060 Max-Q,10899
"15.6""", 3840 x 2160px, 60Hz,Intel Core i7-11800H,32,1000 GB SSD,NVIDIA GeForce RTX 3060 Max-Q,9899
"15.6""", 1920 x 1080px, 165Hz,AMD Ryzen 7 5800H,16,1000 GB SSD,NVIDIA GeForce RTX 3080,9521
"15.6""", 1920 x 1080px, 165Hz,Intel Core i7-12700H,16,1000 GB SSD,NVIDIA GeForce RTX 3070 Ti,10199
"14""", 1920 x 1080px, 60Hz,AMD Ryzen 5 5625U,8,512 GB SSD,AMD Radeon Graphics,4199
"16""", 1920 x 1200px, 60Hz,AMD Ryzen 5 5625U,8,512 GB SSD,AMD Radeon Graphics,3999
"15.6""", 1920 x 1080px, 120Hz,Intel Core i5-11260H,8,512 GB SSD,NVIDIA GeForce RTX 3050,4899
"15.6""", 1920 x 1080px, 165Hz,Intel Core i7-12700H,16,512 GB SSD,NVIDIA GeForce RTX 3060,8199
"15.6""", 1920 x 1080px, 120Hz,Intel Core i7-12700H,16,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,6399
